booking_id,hotel_id,room_id,booking_date,check_in,check_out,status,total_amount
10001,3,301,2024-05-19,2024-08-10,2024-08-11,cancelled,1347.17
10002,3,301,2024-06-09,2024-07-09,2024-07-10,confirmed,668.92
10003,1,102,2024-05-20,2024-07-12,2024-07-19,cancelled,884.51
10004,1,102,2024-05-17,2024-07-31,2024-08-06,confirmed,320.6
10005,2,201,2024-05-16,2024-08-19,2024-08-23,confirmed,434.72
10006,1,101,2024-05-11,2024-07-13,2024-07-14,confirmed,620.23
10007,6,601,2024-06-05,2024-08-04,2024-08-08,confirmed,1378.13
10008,1,101,2024-06-18,2024-07-19,2024-07-22,cancelled,171.74
10009,9,901,2024-05-20,2024-07-22,2024-07-25,confirmed,719.31
10010,3,301,2024-05-05,2024-07-26,2024-08-01,confirmed,1725.58
10011,8,801,2024-06-09,2024-07-12,2024-07-16,confirmed,718.16
10012,3,302,2024-05-10,2024-08-03,2024-08-06,cancelled,1333.31
10013,3,301,2024-06-25,2024-07-28,2024-08-02,cancelled,398.58
10014,1,102,2024-06-12,2024-07-21,2024-07-22,confirmed,1220.17
10015,6,601,2024-06-11,2024-07-29,2024-08-03,confirmed,374.96
10016,5,501,2024-06-02,2024-07-23,2024-07-27,confirmed,1577.76
10017,2,201,2024-06-08,2024-08-09,2024-08-13,confirmed,1765.85
10018,9,901,2024-06-27,2024-07-05,2024-07-11,confirmed,711.26
10019,6,601,2024-05-10,2024-08-17,2024-08-23,confirmed,143.25
10020,8,801,2024-05-07,2024-08-08,2024-08-14,cancelled,149.51
10021,5,501,2024-06-26,2024-07-16,2024-07-23,confirmed,709.28
10022,2,201,2024-05-25,2024-07-03,2024-07-08,confirmed,859.37
10023,3,302,2024-06-07,2024-07-24,2024-07-28,cancelled,1071.41
10024,10,1001,2024-05-28,2024-07-24,2024-07-28,confirmed,566.56
10025,7,701,2024-06-23,2024-07-02,2024-07-08,confirmed,975.34
10026,10,1001,2024-05-03,2024-08-05,2024-08-06,confirmed,535.1
10027,1,101,2024-06-02,2024-07-14,2024-07-19,confirmed,1657.18
10028,7,701,2024-05-30,2024-07-13,2024-07-14,confirmed,216.63
10029,3,302,2024-06-19,2024-08-15,2024-08-19,cancelled,1475.98
10030,3,302,2024-05-07,2024-07-21,2024-07-27,confirmed,201.05
10031,3,301,2024-05-27,2024-07-19,2024-07-22,cancelled,1307.19
10032,3,301,2024-05-02,2024-08-14,2024-08-20,confirmed,708.15
10033,8,801,2024-06-16,2024-07-08,2024-07-10,cancelled,494.82
10034,9,901,2024-05-30,2024-07-02,2024-07-05,confirmed,720.84
10035,2,201,2024-05-10,2024-08-05,2024-08-07,confirmed,237.43
10036,6,601,2024-06-11,2024-07-26,2024-08-01,confirmed,988.94
10037,5,501,2024-05-12,2024-07-27,2024-08-03,confirmed,304.31
10038,6,601,2024-06-10,2024-08-11,2024-08-12,confirmed,1252.99
10039,1,102,2024-06-08,2024-07-09,2024-07-16,cancelled,1184.05
10040,10,1001,2024-06-19,2024-08-19,2024-08-21,confirmed,1647.32
10041,3,301,2024-06-27,2024-07-08,2024-07-13,confirmed,371.56
10042,3,301,2024-06-10,2024-08-15,2024-08-17,confirmed,1698.95
10043,9,901,2024-05-04,2024-07-19,2024-07-26,confirmed,425.68
10044,8,801,2024-05-26,2024-07-18,2024-07-20,confirmed,1140.67
10045,7,701,2024-06-25,2024-08-02,2024-08-08,confirmed,1700.15
10046,1,102,2024-06-21,2024-07-11,2024-07-17,confirmed,1632.42
10047,6,601,2024-06-09,2024-08-06,2024-08-07,cancelled,138.52
10048,6,601,2024-06-28,2024-08-11,2024-08-18,confirmed,1203.43
10049,8,801,2024-05-12,2024-08-06,2024-08-10,confirmed,141.79
10050,2,201,2024-05-05,2024-08-10,2024-08-15,confirmed,1725.87
10051,1,101,2024-05-31,2024-07-16,2024-07-23,cancelled,784.42
10052,3,302,2024-06-01,2024-07-05,2024-07-11,confirmed,841.73
10053,6,601,2024-05-31,2024-07-30,2024-08-01,confirmed,335.67
10054,7,701,2024-05-06,2024-08-15,2024-08-18,cancelled,1561.93
10055,10,1001,2024-06-05,2024-07-09,2024-07-16,confirmed,1050.42
10056,2,201,2024-06-10,2024-07-16,2024-07-20,confirmed,858.81
10057,10,1001,2024-06-21,2024-07-07,2024-07-08,confirmed,746.9
10058,4,401,2024-05-22,2024-07-27,2024-07-29,cancelled,1632.95
10059,4,401,2024-05-09,2024-07-21,2024-07-26,cancelled,414.62
10060,9,901,2024-06-20,2024-08-01,2024-08-06,confirmed,1593.22
10061,8,801,2024-05-30,2024-07-02,2024-07-03,cancelled,954.31
10062,9,901,2024-06-15,2024-07-14,2024-07-19,confirmed,176.42
10063,1,101,2024-05-30,2024-08-08,2024-08-15,confirmed,894.7
10064,1,101,2024-05-27,2024-07-01,2024-07-08,confirmed,319.03
10065,4,401,2024-06-14,2024-08-16,2024-08-19,cancelled,715.75
10066,4,401,2024-06-05,2024-07-04,2024-07-09,confirmed,709.92
10067,10,1001,2024-06-12,2024-07-05,2024-07-09,confirmed,1397.13
10068,3,302,2024-06-13,2024-08-09,2024-08-15,confirmed,310.01
10069,3,302,2024-06-24,2024-07-26,2024-07-29,cancelled,669.84
10070,3,301,2024-06-07,2024-08-18,2024-08-20,confirmed,960.6
10071,5,501,2024-05-29,2024-07-03,2024-07-04,confirmed,1310.24
10072,5,501,2024-05-10,2024-07-31,2024-08-05,confirmed,1126.71
10073,2,201,2024-05-29,2024-07-09,2024-07-12,cancelled,634.69
10074,3,301,2024-06-05,2024-08-09,2024-08-15,cancelled,1105.27
10075,8,801,2024-05-29,2024-08-02,2024-08-07,confirmed,1052.6
10076,9,901,2024-05-31,2024-07-02,2024-07-05,confirmed,277.42
10077,5,501,2024-06-04,2024-08-07,2024-08-10,cancelled,1330.3
10078,7,701,2024-05-17,2024-08-10,2024-08-11,confirmed,544.06
10079,10,1001,2024-05-20,2024-08-20,2024-08-27,confirmed,479.1
10080,7,701,2024-06-27,2024-08-07,2024-08-11,confirmed,1165.63
10081,2,201,2024-05-22,2024-08-19,2024-08-26,confirmed,1495.04
10082,9,901,2024-06-15,2024-07-03,2024-07-08,cancelled,277.92
10083,10,1001,2024-06-29,2024-07-29,2024-08-01,confirmed,796.16
10084,8,801,2024-06-17,2024-07-27,2024-08-01,cancelled,1664.09
10085,5,501,2024-05-06,2024-08-17,2024-08-23,confirmed,326.12
10086,5,501,2024-06-17,2024-08-05,2024-08-08,cancelled,908.01
10087,4,401,2024-06-06,2024-07-21,2024-07-23,confirmed,1001.65
10088,1,101,2024-05-27,2024-07-23,2024-07-29,cancelled,1322.78
10089,3,302,2024-05-20,2024-08-14,2024-08-17,confirmed,418.77
10090,4,401,2024-06-15,2024-07-18,2024-07-23,confirmed,1699.94
10091,5,501,2024-06-11,2024-08-19,2024-08-22,confirmed,1270.31
10092,2,201,2024-05-30,2024-07-21,2024-07-25,confirmed,1686.63
10093,10,1001,2024-05-11,2024-08-16,2024-08-19,confirmed,1070.65
10094,8,801,2024-05-27,2024-07-25,2024-07-29,cancelled,1722.38
10095,3,301,2024-05-10,2024-07-10,2024-07-13,confirmed,1723.59
10096,9,901,2024-06-25,2024-07-23,2024-07-27,confirmed,1367.95
10097,8,801,2024-06-17,2024-07-13,2024-07-20,confirmed,1685.47
10098,6,601,2024-05-17,2024-07-18,2024-07-20,confirmed,1356.92
10099,1,101,2024-06-15,2024-07-16,2024-07-17,confirmed,998.08
10100,2,201,2024-05-21,2024-07-15,2024-07-16,confirmed,654.8
10101,5,501,2024-05-31,2024-07-07,2024-07-13,cancelled,98.86
10102,5,501,2024-05-26,2024-07-11,2024-07-15,confirmed,1595.91
10103,5,501,2024-05-31,2024-07-31,2024-08-06,confirmed,1738.29
10104,8,801,2024-06-10,2024-07-19,2024-07-25,confirmed,1404.52
10105,9,901,2024-05-20,2024-08-06,2024-08-08,confirmed,1326.53
10106,1,102,2024-05-02,2024-07-03,2024-07-05,confirmed,1522.3
10107,5,501,2024-05-02,2024-07-03,2024-07-10,confirmed,937.11
10108,4,401,2024-05-02,2024-08-17,2024-08-24,cancelled,1589.23
10109,4,401,2024-06-30,2024-07-20,2024-07-25,confirmed,1677.66
10110,2,201,2024-06-09,2024-07-19,2024-07-23,cancelled,1019.04
10111,1,102,2024-05-30,2024-07-09,2024-07-16,confirmed,556.55
10112,7,701,2024-05-10,2024-07-08,2024-07-11,confirmed,874.74
10113,8,801,2024-06-14,2024-08-15,2024-08-17,confirmed,666.46
10114,7,701,2024-06-12,2024-08-06,2024-08-12,cancelled,390.1
10115,2,201,2024-05-07,2024-08-10,2024-08-14,cancelled,971.13
10116,1,101,2024-06-25,2024-07-26,2024-08-01,confirmed,1768.68
10117,8,801,2024-05-31,2024-07-21,2024-07-23,confirmed,745.91
10118,4,401,2024-06-02,2024-08-18,2024-08-21,cancelled,606.33
10119,7,701,2024-05-15,2024-08-06,2024-08-07,confirmed,704.83
10120,1,102,2024-06-15,2024-07-04,2024-07-10,confirmed,614.64
10121,3,301,2024-06-05,2024-08-13,2024-08-18,cancelled,1608.14
10122,7,701,2024-05-12,2024-07-20,2024-07-26,confirmed,1656.58
10123,7,701,2024-06-12,2024-07-24,2024-07-29,confirmed,1727.09
10124,8,801,2024-05-31,2024-07-10,2024-07-14,cancelled,1125.81
